test_id,algorithm,category,difficulty,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count
substitution_031,Substitution cipher,classical,hard,True,0.3375,0.5,0.0,0.75,0.95,4,4
substitution_032,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,3
substitution_033,Substitution cipher,classical,hard,True,0.39666666666666667,0.5,0.16666666666666666,0.7,0.95,4,3
substitution_034,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_035,Substitution cipher,classical,hard,True,0.7174285714285715,0.5,0.99,0.6428571428571428,1.0,4,3
substitution_036,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.95,5,3
substitution_037,Substitution cipher,classical,hard,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
substitution_038,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.85,4,3
substitution_039,Substitution cipher,classical,hard,True,0.44166666666666665,0.5,0.16666666666666666,1.0,0.9,4,3
substitution_040,Substitution cipher,classical,hard,True,0.35000000000000003,0.5,0.0,0.8333333333333333,0.95,4,4
substitution_041,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.95,5,4
substitution_042,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_043,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.9,4,3
substitution_044,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.95,4,3
substitution_045,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_046,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.9,4,4
substitution_047,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.95,5,4
substitution_048,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.95,5,4
substitution_049,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.9,5,3
substitution_050,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_051,Substitution cipher,classical,hard,True,0.34500000000000003,0.5,0.0,0.8,0.95,4,3
substitution_052,Substitution cipher,classical,hard,True,0.33,0.5,0.0,0.7,0.95,5,3
substitution_053,Substitution cipher,classical,hard,True,0.7250000000000001,0.5,1.0,0.6666666666666666,1.0,4,4
substitution_054,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_055,Substitution cipher,classical,hard,True,0.34285714285714286,0.5,0.0,0.7857142857142857,0.95,4,3
substitution_056,Substitution cipher,classical,hard,True,0.7187500000000001,0.5,1.0,0.625,1.0,3,3
substitution_057,Substitution cipher,classical,hard,True,0.375,0.5,0.0,1.0,0.95,4,3
substitution_058,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.85,4,3
substitution_059,Substitution cipher,classical,hard,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
aes_gcm_000,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_001,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_002,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_003,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_004,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_005,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_006,AES-GCM,modern_symmetric,very_hard,True,0.34500000000000003,0.5,0.0,0.8,0.98,3,0
aes_gcm_007,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_008,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_009,AES-GCM,modern_symmetric,very_hard,True,0.34500000000000003,0.5,0.0,0.8,1.0,3,0
aes_gcm_010,AES-GCM,modern_symmetric,very_hard,True,0.4266666666666667,0.5,0.16666666666666666,0.9,1.0,3,0
aes_gcm_011,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_012,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,0
aes_gcm_013,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,1
aes_gcm_014,AES-GCM,modern_symmetric,very_hard,True,0.36250000000000004,0.5,0.0,0.9166666666666667,1.0,4,0
aes_gcm_015,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_016,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,0.98,3,0
aes_gcm_017,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_018,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,0
aes_gcm_019,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
